704006009080010000003020450000000002056000780100000000025030100000040060900500307|001|CrackingTheCryptic|Easy|220|21 FullHouse·34 NakedSingle
605000007000500100040001006004010060000462000080030200800300020003007000500000704|002|ThomasSnyder|Easy|424|19 FullHouse·20 HiddenSingle·17 NakedSingle
000005010200790500006001000000000630705602904034000000000300700002074009090100000|003|CrackingTheCryptic|Medium|550|18 FullHouse·12 HiddenSingle·25 NakedSingle·1 NakedPair·2 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)
016000238900004170000000000000002050020563040030800000000000000061700002287000310|004|CrackingTheCryptic|Medium|396|21 FullHouse·14 HiddenSingle·19 NakedSingle·1 LockedPair
000004900800090070060100003610300008009020040000005600001070000070002400400001080|005|CrackingTheCryptic|Easy|354|20 FullHouse·13 HiddenSingle·23 NakedSingle
000792008000860105006300000000000070702080309040000000000008200608071000200639000|006|CrackingTheCryptic|Medium|606|21 FullHouse·10 HiddenSingle·23 NakedSingle·1 LockedPair·5 LockedCandidatesType1(Pointing)
005000004037000050900706000010800240000010000064002090000107003090000710300000900|007|CrackingTheCryptic|Medium|764|19 FullHouse·15 HiddenSingle·22 NakedSingle·1 LockedPair·7 LockedCandidatesType1(Pointing)
000013900005790000013000008090500002570000084300004060100000240000046800006820000|008|ThomasSnyder|Easy|312|20 FullHouse·10 HiddenSingle·23 NakedSingle
020009106500001080000030270000700000102000603000005000018090000060800004705300090|009|CrackingTheCryptic|Medium|400|20 FullHouse·13 HiddenSingle·22 NakedSingle·1 LockedCandidatesType1(Pointing)
070018094040000067200000010000059006000040000300180000090000001710000080680530070|010|CrackingTheCryptic|Medium|386|21 FullHouse·13 HiddenSingle·20 NakedSingle·1 LockedPair
800406003009000020000000001000800400060000010003002009702030000040000500500709008|011|CrackingTheCryptic|Medium|832|21 FullHouse·18 HiddenSingle·1 HiddenPair·19 NakedSingle·1 NakedPair·1 NakedTriple·1 LockedTriple·2 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)
007008000006920040200000080008100000700203006000007300040000009050041200000300800|012|CrackingTheCryptic|Medium|748|21 FullHouse·8 HiddenSingle·28 NakedSingle·1 NakedPair·1 NakedTriple·5 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)
070050010000028600200000000000006000530000007080090040600000081005300000000009370|013|CrackingTheCryptic|Medium|666|21 FullHouse·24 HiddenSingle·14 NakedSingle·1 NakedPair·1 NakedTriple·1 LockedCandidatesType1(Pointing)
000600075400050801030070020006001000000700580090030006040009000001800200000000030|014|CrackingTheCryptic|Medium|468|21 FullHouse·7 HiddenSingle·1 HiddenPair·29 NakedSingle·2 LockedCandidatesType1(Pointing)
005000600040600020300070005020006000001000300000400060500030001090002040008000500|015|SamCapplemanLynes|Medium|886|20 FullHouse·32 HiddenSingle·7 NakedSingle·1 NakedTriple·3 LockedCandidatesType1(Pointing)·2 LockedCandidatesType2(Claiming)
090300014000000230000520060050067800000000000003940050080079000071000000560003080|016|CrackingTheCryptic|Medium|620|20 FullHouse·18 HiddenSingle·17 NakedSingle·2 NakedPair·2 LockedCandidatesType1(Pointing)
030004006408000200000100009080370020000020090020840050000500008501000700090006005|017|CrackingTheCryptic|Medium|500|20 FullHouse·14 HiddenSingle·21 NakedSingle·1 LockedPair·2 LockedCandidatesType1(Pointing)
800004000005000040100350020400700000008506100000008006090027005020000300000600004|018|CrackingTheCryptic|Medium|748|21 FullHouse·8 HiddenSingle·28 NakedSingle·1 NakedPair·1 NakedTriple·5 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)
002006705000000610000013800003980040000000000060052300004290000079000000308600400|019|CrackingTheCryptic|Medium|620|20 FullHouse·18 HiddenSingle·17 NakedSingle·2 NakedPair·2 LockedCandidatesType1(Pointing)
003000000000210000004000809000507010060030020020904000709000300000076000000000400|020|SamCapplemanLynes|Medium|980|21 FullHouse·13 HiddenSingle·1 HiddenPair·1 HiddenTriple·26 NakedSingle·1 NakedPair·3 NakedTriple·1 LockedPair·2 LockedCandidatesType1(Pointing)
060050003000012000405006010307004060000067000050030002090020600008000000010090500|021|CrackingTheCryptic|Medium|834|20 FullHouse·15 HiddenSingle·21 NakedSingle·1 NakedPair·6 LockedCandidatesType1(Pointing)·2 LockedCandidatesType2(Claiming)
015948000740000390002000010000400001200590073000600209029000047600000130037264000|022|DerekNeal|Hard|792|19 FullHouse·14 HiddenSingle·15 NakedSingle·1 LockedCandidatesType1(Pointing)·2 LockedCandidatesType2(Claiming)·1 XY-Wing·1 W-Wing
610025030040800200800004010030000008100050006400000070020500007004006080080310002|023|CrackingTheCryptic|Hard|682|20 FullHouse·22 HiddenSingle·11 NakedSingle·1 LockedPair·2 LockedCandidatesType1(Pointing)·1 RemotePair
000000000012304560050207080031602490000000000069701350090408070084109630000000000|024|SamCapplemanLynes|Medium|676|21 FullHouse·2 HiddenSingle·26 NakedSingle·5 NakedPair·2 NakedTriple
000800100007002000430005009300900080000100500105007000710006005000000000200300098|025|CrackingTheCryptic|Medium|478|20 FullHouse·21 HiddenSingle·16 NakedSingle·1 LockedPair
000185320000640005040090001800520003000009568000001042090000000003000800200007000|026|CrackingTheCryptic|Medium|486|20 FullHouse·11 HiddenSingle·23 NakedSingle·1 NakedPair·2 LockedCandidatesType1(Pointing)
100000002000314000005000600020007080070060090050100020006000300000738000800000009|027|SamCapplemanLynes|Hard|1002|20 FullHouse·13 HiddenSingle·25 NakedSingle·1 LockedPair·9 LockedCandidatesType1(Pointing)·3 LockedCandidatesType2(Claiming)
000600005002000100050078000600400000001080300800007004020940030003000600700005000|028|CrackingTheCryptic|Medium|532|21 FullHouse·15 HiddenSingle·22 NakedSingle·3 LockedCandidatesType1(Pointing)
100000005000123000009000700030010070020506080010070090006000300000468000500000004|029|SamCapplemanLynes|Hard|1478|19 FullHouse·11 HiddenSingle·2 HiddenTriple·27 NakedSingle·3 NakedPair·2 NakedTriple·10 LockedCandidatesType1(Pointing)·2 LockedCandidatesType2(Claiming)
070201050000040000908000104604000203090000060032000710800907002000106000000080000|030|CrackingTheCryptic|Medium|550|20 FullHouse·13 HiddenSingle·1 HiddenTriple·22 NakedSingle·2 LockedCandidatesType1(Pointing)
000309000020080050001000700400020003000103070100060008007000300080050040000902000|031|DerekNeal|Hard|832|20 FullHouse·16 HiddenSingle·1 HiddenTriple·22 NakedSingle·1 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)·1 BivalueUniversalGrave+1·1 X-Wing
700000001009700020050006400080605300500000000002104080000800070020003500100000009|032|CrackingTheCryptic|Hard|808|21 FullHouse·13 HiddenSingle·23 NakedSingle·2 NakedPair·1 LockedCandidatesType1(Pointing)·2 X-Wing
070040060400803005090020000007100308060000040108009002000070030004600800010030020|033|CrackingTheCryptic|Hard|876|21 FullHouse·11 HiddenSingle·22 NakedSingle·1 NakedTriple·1 LockedCandidatesType1(Pointing)·3 X-Wing
